Id,Label
1156,cultural
1157,toda
1158,hackathon
1159,virtual
1160,laminas
1161,federacion
1162,simit
1163,contribucion
1164,venezolanos
1165,meta
1166,bid
1167,plataformas
1168,calles
1169,tuneladoras
1170,canoas
1171,camioneta
1172,amar
1173,nacimientos
1174,salones
1175,comunales
1176,trazado
1177,mesa
1178,via
1179,sexual
1180,laboratorio
1181,'kevin
1182,febrero
1183,modificaciones
1184,intermitentes
1185,12
1186,acceso
1187,velez
1188,cristina
1189,caracas
1190,engativa
1191,bienes
1192,ahora
1193,fortalecer
1194,herrera
1195,guillermo
1196,interventoria
1197,mantener
1198,financiacion
1199,wifi
1200,tarde
1201,problemas
1202,turismo
1203,culto
1204,compuerta
1205,14
1206,adquirir
1207,antecedentes
1208,mapa
1209,internacional
1210,ministerio
1211,militar
1212,capturados
1213,muerte
1214,presentado
1215,migracion
1216,aceras
1217,26
1218,supermercados
1219,2018
1220,iguana
1221,domingos
1222,visual
1223,tras
1224,boa
1225,votacion
1226,religiosa
1227,comite
1228,flota
1229,electronico
1230,dim
1231,condicion
1232,brigada
1233,cundinamarca
1234,votar
1235,electoral
1236,reconciliacion
1237,concejal
1238,peces
1239,lago
1240,7
1241,tunal
1242,analisis
1243,teatro
1244,convirtio
1245,pionera
1246,ampliacion
1247,provisional
1248,colina
1249,evento
1250,meteorologicas
1251,palma
1252,temporalmente
1253,virrey
1254,digitaxi
1255,expertos
1256,hoy
1257,zabaleta
1258,fdn
1259,electricos
1260,evasion
1261,problema
1262,mendez
1263,buenos
1264,brt
1265,smart
1266,modelo
1267,sas
1268,londres
1269,mejores
1270,dialogos
1271,valores
1272,guardas
1273,produccion
1274,oficial
1275,motor
1276,cicloruta
1277,ciclorutas
1278,investigaciones
1279,subteniente
1280,23
1281,buen
1282,ciclista
1283,tecnologias
1284,bebe
1285,recien
1286,luz
1287,400
1288,nina
1289,jeisson
1290,hecho
1291,rurales
1292,delincuenciales
1293,estructuras
1294,conpes
1295,cuota
1296,proposito
1297,lote
1298,garcia
1299,casino
1300,httpwwwhaciendabogotagovco
1301,gatico
1302,taxista
1303,peligrosos
1304,embargo
1305,pueden
1306,avanzar
1307,chico
1308,]
1309,junio
1310,puerta
1311,medio
1312,1000
1313,correo
1314,cuatro
1315,emision
1316,fontibon
1317,fotografia
1318,aula
1319,contacto
1320,corresponsales
1321,falsas
1322,objetos
1323,denuncias
1324,llamado
1325,mascotas
1326,tunjuelito
1327,emprendimiento
1328,sonidos
1329,salida
1330,empleo
1331,50
1332,registro
1333,picnic
1334,actas
1335,paulo
1336,camionetas
1337,4x4
1338,pachos
1339,correos
1340,electronicos
1341,bosque
1342,forma
1343,artesanias
1344,certificacion
1345,deberan
1346,fundacion
1347,inclusion
1348,racisno
1349,subasta
1350,abandono
1351,declarar
1352,caminata
1353,desembargo
1354,declaracion
1355,presentar
1356,memorando
1357,lideres
1358,discriminacion
1359,cabo
1360,local
1361,encuentro
1362,chapinero
1363,orden
1364,porvenir
1365,buganvilias
1366,credito
1367,sijin
1368,desnutricion
1369,fabricacion
1370,simon
1371,medidas
1372,cumpleanos
1373,disfrutar
1374,cl
1375,remodelacion
1376,20
1377,tradicion
1378,van
1379,108
1380,olarte
1381,farra
1382,buena
1383,200
1384,sostenible
1385,cumbre
1386,prevencion
1387,manitas
1388,mono
1389,cai
1390,desaparicion
1391,juridica
1392,abogados
1393,loteria
1394,electronica
1395,solidaridad
1396,desempeno
1397,capitales
1398,propuestas
1399,ii
1400,nocturno
1401,carros
1402,utilizando
1403,'el
1404,vigencias
1405,futuras
1406,bien
1407,ajiaco
1408,santafereno
1409,migrantes
1410,biarticulados
1411,rosas
1412,proteger
1413,acreditacion
1414,monolito
1415,cali
1416,palomas
1417,venezolana
1418,gomez
1419,viceministro
1420,idrd
1421,diana
1422,ganadores
1423,reciclar
1424,parqueaderos
1425,30
1426,delincuente
1427,fuego
1428,patrulleras
1429,biciturismo
1430,haciendabogota
1431,lectura
1432,biblioteca
1433,curtiembres
1434,tarantulas
1435,tintal
1436,5
1437,entrega
1438,21
1439,anuncio
1440,cristo
1441,campesino
1442,privado
1443,gatos
1444,cronograma
1445,nombre
1446,inicio
1447,caminables
1448,alimentacion
1449,calificacion
1450,duenos
1451,valiente
1452,perro
1453,torno
1454,paraiso
1455,conductas
1456,ambulancias
1457,emergencias
1458,tenis
1459,evacuacion
1460,bajo
1461,cuco
1462,americano
1463,blancas
1464,rapida
1465,oportuna
1466,'los
1467,comando
1468,cvp
1469,25
1470,cadenas
1471,cualquier
1472,mensaje
1473,vertimientos
1474,contenedores
1475,5000
1476,implementado
1477,29
1478,celebracion
1479,ciencia
1480,smmlv
1481,ranas
1482,matoneria
1483,actos
1484,cobarde
1485,abierta
1486,capturada
1487,masivo
1488,juntas
1489,juan
1490,amarillo
1491,patrullero
1492,eje
1493,solar
1494,parasol
1495,controles
1496,exceso
1497,transmialdia
1498,combustible
1499,fuga
1500,instalacion
1501,seguro
1502,mariposa
